date | value
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2016-04-23 | 1.2
2011-01-09 | 1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2020-08-29 | 1

1000-10-10 | 1
9999-12-12 | 1
2022-03-24 | 1
2009-01-01 | 1
